Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-09,26.676,26.676,25.013,25.013,1795647
2005-06-10,25.097,25.433,24.594,24.594,679054
2005-06-13,25.013,25.097,24.594,24.762,213950
2005-06-14,24.929,24.929,24.762,24.762,181415
2005-06-15,24.762,24.845,24.594,24.762,160359
2005-06-16,24.762,24.762,24.35,24.35,171475
2005-06-17,24.51,24.51,24.182,24.267,286286
2005-06-20,24.182,24.267,24.013,24.182,230027
2005-06-21,24.182,24.267,24.013,24.182,328050
2005-06-22,24.267,24.929,24.267,24.845,299635
2005-06-23,25.013,25.266,24.678,24.678,221598
2005-06-24,24.762,24.929,24.51,24.51,42660
2005-06-27,24.51,24.845,24.426,24.762,22542
2005-06-28,24.845,24.845,24.51,24.762,21546
2005-06-29,24.929,24.929,24.594,24.678,34953
2005-06-30,24.762,24.762,24.426,24.678,56049
2005-07-01,24.762,24.762,24.51,24.594,40169
2005-07-04,24.594,24.929,24.594,24.762,48311
2005-07-05,24.845,25.182,24.762,25.013,94613
2005-07-06,25.013,25.013,24.845,24.929,23239
2005-07-07,25.013,25.013,24.594,24.929,88585
2005-07-08,25.013,26.098,25.013,25.846,1137592
2005-07-11,26.181,26.518,25.761,25.93,684918
2005-07-12,26.014,26.014,25.846,25.93,245968
2005-07-13,25.93,26.266,25.93,26.266,477461
2005-07-14,26.349,26.434,26.181,26.266,383853
2005-07-15,26.181,26.181,26.014,26.098,233401
2005-07-18,26.014,26.098,25.518,25.594,225592
2005-07-19,25.518,25.678,25.266,25.594,198664
2005-07-20,25.594,25.846,25.266,25.349,197376
2005-07-21,25.433,25.594,25.013,25.013,280189
2005-07-22,24.929,25.013,24.678,24.762,257667
2005-07-25,24.929,25.678,24.929,25.678,290747
2005-07-26,25.678,26.098,25.678,26.098,604855
2005-07-27,26.098,26.181,25.93,26.181,388722
2005-07-28,26.181,26.349,26.098,26.349,801321
2005-07-29,26.349,26.349,26.098,26.181,280148
2005-08-01,26.098,26.181,25.846,26.014,213877
2005-08-02,26.098,26.434,26.098,26.266,1177048
2005-08-03,26.266,26.518,26.014,26.434,739937
2005-08-04,26.349,26.434,26.181,26.349,260880
2005-08-05,26.349,26.349,26.098,26.181,161756
2005-08-08,26.266,27.181,26.266,27.181,1327374
2005-08-09,27.181,27.601,27.181,27.433,947019
2005-08-10,27.517,28.516,27.517,28.265,1913703
2005-08-11,28.432,29.096,28.349,29.011,1946614
2005-08-12,28.937,28.937,28.349,28.432,1182137
2005-08-16,28.432,28.769,28.265,28.349,1246066
2005-08-17,28.432,28.432,28.181,28.349,523977
2005-08-18,28.265,28.349,27.685,27.769,464309
2005-08-19,27.601,28.012,27.181,27.929,445262
2005-08-22,28.096,28.432,28.096,28.265,431496
2005-08-23,28.265,28.265,28.096,28.181,157559
2005-08-24,28.181,28.349,28.096,28.265,466520
2005-08-25,28.181,28.265,28.012,28.012,115304
2005-08-26,27.929,28.181,27.845,28.181,196427
2005-08-29,28.181,28.601,28.012,28.516,367186
2005-08-30,28.601,29.011,28.601,28.684,761158
2005-08-31,28.684,29.096,28.684,29.011,847818
2005-09-01,29.347,30.431,29.347,30.18,2289395
2005-09-02,30.347,31.263,30.347,30.936,2639921
2005-09-05,30.767,30.767,30.347,30.516,527299
2005-09-06,30.431,30.767,30.18,30.767,410042
2005-09-07,30.852,30.936,30.263,30.347,380358
2005-09-08,30.263,30.347,29.936,30.263,373992
2005-09-09,30.431,30.852,30.431,30.767,297225
